[2011] 化学：一般に化学の実験で酸素を集めるときに用いる方法は？ (1)上方置換 (2)下方置換 (3)気相置換 (4)水上置換,4
[2011] 芝浦：次のうち、情報実験I担当教員の出身高校所在地でないものはどれ？(1)神奈川県 (2)徳島県 (3)愛媛県 (4)広島県,4
[2016] [地理]ほったらかし温泉があるのは何県? 1.静岡県 2.栃木県 3.高知県 4.山梨県,4
[2016] [地理]ほったらかし温泉があるのは何県? 1.静岡県 2.栃木県 3.高知県 4.山梨県,4
[2015] [アニメ]『金色のガッシュベル!!』の作者は？　1.新川直司 2.荒川弘 3.青山剛昌 4.雷句誠,4
[2018] 東大宮駅は何丁目？,4
[2017] [ゲーム]Rainbow Six Siegeのカジュアルマッチの試合時間は何分？,4
[2016] [映画]映画「ボルケーノ」では何が街を襲う？1.火山 2.飛行機 3.税金 4.溶岩流,4
[2013] スポーツ：リーガエスパニョーラ2012-13シーズの得手王は誰か？ (1)C・ロナウド (2)ベンゼマ (3)イグアイン (4)メッシ,4
[2012] 情報処理：機器やシステムの故障率の変化を、時間経過を横軸として表したグラフはどれか？(1)リサジュー曲線 (2)信頼度成長曲線 (3)トラクトリックス (4)バスタブ曲線,4
[2016] [スロット]ジャグラーシリーズの制作などを手掛ける電子機器メーカーの名前は? 1.東電子 2.西電子 3.南電子 4.北電子,4
[2012] 芝浦：DAMのカラオケ端末での芝浦工業大学校歌のリクエストNo.は？(1)5091-02 (2)5091-07 (3)5091-12 (4)5091-17,4
[2016] [サンリオ]第31回サンリオキャラクター大賞の1位は？1.マイメロディ 2.ハローキティ 3.リトルツインスターズ 4.ポムポムプリン,4
[2013] 雑学：2014年1月1日は何曜日 (1)日曜日 (2)月曜日 (3)火曜日 (4)水曜日 (5)木曜日 (6)金曜日 (7)土曜日,4
[2011] ゲーム：SFCソフト「MOTHER2」の主人公ネスの出身はどこ？ (1)フォーサイド (2)サマーズ (3)ランマ (4)オネット,4
[2016] [カイジ]カイジに地下チンチロで敗北したE班班長の名前は何か　１．石和　２．沼川　３．遠藤　４．大槻,4
[2011] スポーツ：次の中からアメリカのフィギュアスケート選手を選びなさい (1)安藤美姫 (2)ミハル・ブレジナ (3)アレクセイ・ヤグディン (4)ミシェル・クワン,4
[2016] [映画]映画「ボルケーノ」では何が街を襲う？1.火山 2.飛行機 3.税金 4.溶岩流,4
[2011] 芝浦：次のうち、情報実験I担当教員の出身高校所在地でないものはどれ？(1)神奈川県 (2)徳島県 (3)愛媛県 (4)広島県,4
[2016] [野球]昨年度，日本プロ野球で日本一になった球団を答えよ 1.ライオンズ 2.ジャイアンツ 3.ヤクルト 4.ソフトバンク,4
[2016] [映画]映画「シャークネード カテゴリー2」では竜巻とともに何の魚が襲ってくる？１.NY ２.サバンナ 3.チェーンソー 4.サメ,4
[2012] 芝浦：DAMのカラオケ端末での芝浦工業大学校歌のリクエストNo.は？(1)5091-02 (2)5091-07 (3)5091-12 (4)5091-17,4
[2013] スポーツ：サッカー日本代表での本田の背番号は何番か？(2013年現在),4
[2016] ［パズドラ］無間の破戒神・大天狗のスキルブーストの数はいくつか？,4
[2013] 雑学：2014年1月1日は何曜日 (1)日曜日 (2)月曜日 (3)火曜日 (4)水曜日 (5)木曜日 (6)金曜日 (7)土曜日,4
[FR] premier: De la souveraineté.  Article 2: En savoir plus sur cet article.  La langue de la République est le français.  L'emblème national est,4
[2016] ［パズドラ］操作延長10個の時の沈着のアレキサンドライト使用時のエンハンス倍率を求めよ,4
[2017] [水樹奈々]「水樹奈々　大いに唄う」は過去何回行ったでしょう　2017年7月現在,4
[2013] スポーツ：リーガエスパニョーラ2012-13シーズの得手王は誰か？ (1)C・ロナウド (2)ベンゼマ (3)イグアイン (4)メッシ,4
[2017] [ゲーム]Rainbow Six Siegeのカジュアルマッチの試合時間は何分？,4
[2016] [カイジ]カイジに地下チンチロで敗北したE班班長の名前は何か　１．石和　２．沼川　３．遠藤　４．大槻,4
[2018] 東大宮駅は何丁目？,4
[2015] [通信]OSI参照モデルにおいて，トランスポート層は第何層に位置する？,4
[2013] スポーツ：リーガエスパニョーラ2012-13シーズの得手王は誰か？ (1)C・ロナウド (2)ベンゼマ (3)イグアイン (4)メッシ,4
[2016] [カイジ]カイジに地下チンチロで敗北したE班班長の名前は何か　１．石和　２．沼川　３．遠藤　４．大槻,4
[2013] 雑学：2014年1月1日は何曜日 (1)日曜日 (2)月曜日 (3)火曜日 (4)水曜日 (5)木曜日 (6)金曜日 (7)土曜日,4
[2016] [地理]ほったらかし温泉があるのは何県? 1.静岡県 2.栃木県 3.高知県 4.山梨県,4
[2014] 映画アナと雪の女王に登場する雪だるまの名前は次のうちどれ (1)エルザ (2)スノーマン (3)又三郎 (4)オラフ,4
[2017] [水樹奈々]「水樹奈々　大いに唄う」は過去何回行ったでしょう　2017年7月現在,4
[2016] [野球]昨年度，日本プロ野球で日本一になった球団を答えよ 1.ライオンズ 2.ジャイアンツ 3.ヤクルト 4.ソフトバンク,4
[2011] スポーツ：次の中からアメリカのフィギュアスケート選手を選びなさい (1)安藤美姫 (2)ミハル・ブレジナ (3)アレクセイ・ヤグディン (4)ミシェル・クワン,4
[2016] [映画]映画「シャークネード カテゴリー2」では竜巻とともに何の魚が襲ってくる？１.NY ２.サバンナ 3.チェーンソー 4.サメ,4
[2016] [スロット]ジャグラーシリーズの制作などを手掛ける電子機器メーカーの名前は? 1.東電子 2.西電子 3.南電子 4.北電子,4
[2016] ［パズドラ］無間の破戒神・大天狗のスキルブーストの数はいくつか？,4
[2018] ジョハリの窓に示される窓の数は？,4
[2016] ［パズドラ］無間の破戒神・大天狗のスキルブーストの数はいくつか？,4
[2013] 雑学：2014年1月1日は何曜日 (1)日曜日 (2)月曜日 (3)火曜日 (4)水曜日 (5)木曜日 (6)金曜日 (7)土曜日,4
[2015] [通信]OSI参照モデルにおいて，トランスポート層は第何層に位置する？,4
[2013] スポーツ：リーガエスパニョーラ2012-13シーズの得手王は誰か？ (1)C・ロナウド (2)ベンゼマ (3)イグアイン (4)メッシ,4
[2013] スポーツ：リーガエスパニョーラ2012-13シーズの得手王は誰か？ (1)C・ロナウド (2)ベンゼマ (3)イグアイン (4)メッシ,4
[2016] ［パズドラ］操作延長10個の時の沈着のアレキサンドライト使用時のエンハンス倍率を求めよ,4
[2011] スポーツ：次の中からアメリカのフィギュアスケート選手を選びなさい (1)安藤美姫 (2)ミハル・ブレジナ (3)アレクセイ・ヤグディン (4)ミシェル・クワン,4
[2016] [スロット]ジャグラーシリーズの制作などを手掛ける電子機器メーカーの名前は? 1.東電子 2.西電子 3.南電子 4.北電子,4
[2017] [ゲーム]Rainbow Six Siegeのカジュアルマッチの試合時間は何分？,4
[2012] 芝浦：DAMのカラオケ端末での芝浦工業大学校歌のリクエストNo.は？(1)5091-02 (2)5091-07 (3)5091-12 (4)5091-17,4
[2016] [サンリオ]第31回サンリオキャラクター大賞の1位は？1.マイメロディ 2.ハローキティ 3.リトルツインスターズ 4.ポムポムプリン,4
[2013] 雑学：2014年1月1日は何曜日 (1)日曜日 (2)月曜日 (3)火曜日 (4)水曜日 (5)木曜日 (6)金曜日 (7)土曜日,4
[2016] ［パズドラ］無間の破戒神・大天狗のスキルブーストの数はいくつか？,4
[2013] スポーツ：サッカー日本代表での本田の背番号は何番か？(2013年現在),4
[2011] ゲーム：SFCソフト「MOTHER2」の主人公ネスの出身はどこ？ (1)フォーサイド (2)サマーズ (3)ランマ (4)オネット,4
[2013] 雑学：2014年1月1日は何曜日 (1)日曜日 (2)月曜日 (3)火曜日 (4)水曜日 (5)木曜日 (6)金曜日 (7)土曜日,4
[2018] 東大宮駅は何丁目？,4
[2015] [アニメ]『金色のガッシュベル!!』の作者は？　1.新川直司 2.荒川弘 3.青山剛昌 4.雷句誠,4
