[2011] 音楽：真島俊夫作曲「三つのジャポニスム」の中で「鶴が舞う」は第何楽章？,1
[2018] 漫画「ワンパンマン」の主人公サイタマのヒーローネームは？１．ハゲマント ２．ツルッパゲ ３．ハゲアタマ ４．サイタマン,1
[2018] ヘミングウェイの作品はどれ？1.老人と海 2.男と酒 3.車輪の下,1
[2018] 「魔法先生ネギま！」に登場する「ネギ・スプリングフィールド」が担任を勤めている「麻帆良学園本校女子中等学校」のある学級に所属している「相坂 さよ」の出席番号は何？,1
[2016] [北斗の拳]南斗聖拳で最も美しい技を持つのは誰か　１．レイ　２．シン　３．ユダ　４．サウザー,1
[2016] [ゴルフ] TaylorMadeは現在大手スポーツメーカーの傘下ですがズバリどこ？ 1.アディダス 2.プーマ 3.ナイキ,1
[2018] 田村芽美が卒業コンサートで最後にソロで歌った曲は？　1. 自転車チリリン　2. もしも　3. 有頂天LOVE  4. ピョコピョコウルトラ,1
[2016] [聖闘士聖矢]獅子座の黄金聖闘士は誰か　１．アイオリア ２．シャカ ３．デスマスク ４．アルデバラン,1
[2013] 地理：いちばん面積が小さい都道府県は？ (1)香川県 (2)東京都 (3)鳥取県 (4)徳島県,1
[2018] 漫画「ワンパンマン」の主人公サイタマのヒーローネームは？１．ハゲマント ２．ツルッパゲ ３．ハゲアタマ ４．サイタマン,1
[2018] 田村芽美が卒業コンサートで最後にソロで歌った曲は？　1. 自転車チリリン　2. もしも　3. 有頂天LOVE  4. ピョコピョコウルトラ,1
[2018] ゲーム「殺戮の天使」はアニメ化する？ １．する ２．しない ３．してほしい ４．どうでもいい,1
[2011] 歴史：江戸幕府の初代将軍といえば誰？ (1)徳川家康 (2)徳川秀忠 (3)徳川家光 (4)徳川慶喜,1
[2015] [パズドラ]半蔵のスキル上げに使われるモンスターは？1.はまひめ　2.ねねこ　3.こだま　4.わるりん,1
[2018] The formal name of human is? 1. Homo sapiens 2.Homo neanderthalensis 3.Homo erectus,1
[2011] 数学：「順列」を表すときに使われるアルファベットは何？ (1)Ｐ (2)Ｃ (3)Ｆ (4)Ｕ,1
[2018] The formal name of human is? 1. Homo sapiens 2.Homo neanderthalensis 3.Homo erectus,1
[2016] [コーヒー]カティカティブレンドというコーヒーのカティカティ(スワヒリ語)とはどういう意味でしょう？1.〜の間 2.エレガント 3.風味 4.酸味,1
[2011] 雑学：2011年のクリスマスは何曜日？(1)日 (2)火 (3)木 (4)土,1
[2015] [パズドラ]半蔵のスキル上げに使われるモンスターは？1.はまひめ　2.ねねこ　3.こだま　4.わるりん,1
[2011] 音楽：真島俊夫作曲「三つのジャポニスム」の中で「鶴が舞う」は第何楽章？,1
[2015] [逆ポーランド記法]次の数式を解け：794  397 / 2 /,1
[2018] 「もうゴールしていいよね？」 １．いい ２．だめ,1
[2018] V系バンドAnli Pollicinoのギター&DJは「Yo-?」?に入る数字は？,1
[2018] The formal name of human is? 1. Homo sapiens 2.Homo neanderthalensis 3.Homo erectus,1
【1:htt】[2018] 入りたい研究室は？ 1. 三好研,1
[2018] The formal name of human is? 1. Homo sapiens 2.Homo neanderthalensis 3.Homo erectus,1
[2018] W杯の日本の初戦が行われたのは6月何日？　1. 19日　2. 24日　3. 20日　4. 17日,1
[2018] [曲の歌詞]自分だけが辛いだとか思って俯かないで 見上げてみて不器用に瞬いた 1.ダイヤモンド 2.サファイア 3.エメラルド 4.ルビー 5.アメシスト,1
[2018] 「魔法先生ネギま！」に登場する「ネギ・スプリングフィールド」が担任を勤めている「麻帆良学園本校女子中等学校」のある学級に所属している「相坂 さよ」の出席番号は何？,1
[2018] 漫画「ワンパンマン」の主人公サイタマのヒーローネームは？１．ハゲマント ２．ツルッパゲ ３．ハゲアタマ ４．サイタマン,1
[2018] [曲の歌詞]自分だけが辛いだとか思って俯かないで 見上げてみて不器用に瞬いた 1.ダイヤモンド 2.サファイア 3.エメラルド 4.ルビー 5.アメシスト,1
[2016] [聖闘士聖矢]獅子座の黄金聖闘士は誰か　１．アイオリア ２．シャカ ３．デスマスク ４．アルデバラン,1
[2016] [コーヒー]カティカティブレンドというコーヒーのカティカティ(スワヒリ語)とはどういう意味でしょう？1.〜の間 2.エレガント 3.風味 4.酸味,1
[2015] [MtG]《怨恨》がエンチャントされた《甲鱗のワーム》が攻撃クリーチャーとして指定された．これを四枚の《灰色熊》でブロックした場合，ダメージ計算後にプレイヤーに割り振られるダメージの点数を述べよ．（各プレイヤーは呪文を唱えたり能力の起動をしないものとする）,1
[2011] 科学：宇宙船スプートニク2号に乗せられた犬の名前は？ (1)クドリャフカ (2)ハチ (3)ライカ (4)お父さん,1
[2015] [逆ポーランド記法]次の数式を解け：794  397 / 2 /,1
[2018] W杯の日本の初戦が行われたのは6月何日？　1. 19日　2. 24日　3. 20日　4. 17日,1
[2018] ヘミングウェイの作品はどれ？1.老人と海 2.男と酒 3.車輪の下,1
[2011] 数学：「順列」を表すときに使われるアルファベットは何？ (1)Ｐ (2)Ｃ (3)Ｆ (4)Ｕ,1
[2018] W杯の日本の初戦が行われたのは6月何日？　1. 19日　2. 24日　3. 20日　4. 17日,1
[2011] 歴史：江戸幕府の初代将軍といえば誰？ (1)徳川家康 (2)徳川秀忠 (3)徳川家光 (4)徳川慶喜,1
[2018] 漫画「ワンパンマン」の主人公サイタマのヒーローネームは？１．ハゲマント ２．ツルッパゲ ３．ハゲアタマ ４．サイタマン,1
[2011] 音楽：真島俊夫作曲「三つのジャポニスム」の中で「鶴が舞う」は第何楽章？,1
[2018] 「もうゴールしていいよね？」 １．いい ２．だめ,1
[2018] W杯の日本の初戦が行われたのは6月何日？　1. 19日　2. 24日　3. 20日　4. 17日,1
[2016] [自動車] 走行中に右折、左折または転回の合図をする時期はいずれも同じである 1.正しい 2.間違っている,1
[2011] 科学：宇宙船スプートニク2号に乗せられた犬の名前は？ (1)クドリャフカ (2)ハチ (3)ライカ (4)お父さん,1
[2015] [MtG]《怨恨》がエンチャントされた《甲鱗のワーム》が攻撃クリーチャーとして指定された．これを四枚の《灰色熊》でブロックした場合，ダメージ計算後にプレイヤーに割り振られるダメージの点数を述べよ．（各プレイヤーは呪文を唱えたり能力の起動をしないものとする）,1
[2011] 音楽：真島俊夫作曲「三つのジャポニスム」の中で「鶴が舞う」は第何楽章？,1
[2018] 「もうゴールしていいよね？」 １．いい ２．だめ,1
[2018] 「魔法先生ネギま！」に登場する「ネギ・スプリングフィールド」が担任を勤めている「麻帆良学園本校女子中等学校」のある学級に所属している「相坂 さよ」の出席番号は何？,1
[2016] [北斗の拳]南斗聖拳で最も美しい技を持つのは誰か　１．レイ　２．シン　３．ユダ　４．サウザー,1
[2016] [北斗の拳]南斗聖拳で最も美しい技を持つのは誰か　１．レイ　２．シン　３．ユダ　４．サウザー,1
[2012] 通信：データリンク層で最も一般的に使用されるデバイスはどれか？ (1)スイッチ (2)リピータ (3)ルータ (4)ハブ,1
[2018] 「魔法先生ネギま！」に登場する「ネギ・スプリングフィールド」が担任を勤めている「麻帆良学園本校女子中等学校」のある学級に所属している「相坂 さよ」の出席番号は何？,1
[2016] [ゴルフ] TaylorMadeは現在大手スポーツメーカーの傘下ですがズバリどこ？ 1.アディダス 2.プーマ 3.ナイキ,1
[2015] [パズドラ]半蔵のスキル上げに使われるモンスターは？1.はまひめ　2.ねねこ　3.こだま　4.わるりん,1
[2018] 入りたい研究室は？ 1. 三好研,1
[2016] [自動車] 走行中に右折、左折または転回の合図をする時期はいずれも同じである 1.正しい 2.間違っている,1
[2018] 田村芽美が卒業コンサートで最後にソロで歌った曲は？　1. 自転車チリリン　2. もしも　3. 有頂天LOVE  4. ピョコピョコウルトラ,1
[2018] ヘミングウェイの作品はどれ？1.老人と海 2.男と酒 3.車輪の下,1
[2015] [逆ポーランド記法]次の数式を解け：794  397 / 2 /,1
[2015] [パズドラ]半蔵のスキル上げに使われるモンスターは？1.はまひめ　2.ねねこ　3.こだま　4.わるりん,1
[2018] V系バンドAnli Pollicinoのギター&DJは「Yo-?」?に入る数字は？,1
[2018] 「魔法先生ネギま！」に登場する「ネギ・スプリングフィールド」が担任を勤めている「麻帆良学園本校女子中等学校」のある学級に所属している「相坂 さよ」の出席番号は何？,1
[FR]France est une République indivisible, laïque, démocratique et sociale.  Elle assure l'égalité devant la loi de tous,1
[2018] 「もうゴールしていいよね？」 １．いい ２．だめ,1
